issue_utc,lead_min,method,scale,fss
2025-10-01 23:00:00,30,M0,1,0.8964634537696838
2025-10-01 23:00:00,30,M0,3,0.9373917579650879
2025-10-01 23:00:00,30,M0,9,0.9713214635848999
2025-10-01 23:00:00,30,M0,21,0.9889330863952637
2025-10-01 23:00:00,30,M0,51,0.9962336421012878
2025-10-01 23:00:00,30,M1,1,0.9164400696754456
2025-10-01 23:00:00,30,M1,3,0.9505999684333801
2025-10-01 23:00:00,30,M1,9,0.9786125421524048
2025-10-01 23:00:00,30,M1,21,0.9911371469497681
2025-10-01 23:00:00,30,M1,51,0.9967553615570068
2025-10-01 23:00:00,30,M4,1,0.9231494069099426
2025-10-01 23:00:00,30,M4,3,0.9528236985206604
2025-10-01 23:00:00,30,M4,9,0.9777423143386841
2025-10-01 23:00:00,30,M4,21,0.9901070594787598
2025-10-01 23:00:00,30,M4,51,0.9960618019104004
2025-10-01 23:00:00,60,M0,1,0.8636537790298462
2025-10-01 23:00:00,60,M0,3,0.9062649011611938
2025-10-01 23:00:00,60,M0,9,0.9475654363632202
2025-10-01 23:00:00,60,M0,21,0.9751801490783691
2025-10-01 23:00:00,60,M0,51,0.9903990030288696
2025-10-01 23:00:00,60,M1,1,0.8837988376617432
2025-10-01 23:00:00,60,M1,3,0.9168311357498169
2025-10-01 23:00:00,60,M1,9,0.9530478715896606
2025-10-01 23:00:00,60,M1,21,0.9763355851173401
2025-10-01 23:00:00,60,M1,51,0.990287184715271
2025-10-01 23:00:00,60,M4,1,0.8958662748336792
2025-10-01 23:00:00,60,M4,3,0.9260280132293701
2025-10-01 23:00:00,60,M4,9,0.9573032259941101
2025-10-01 23:00:00,60,M4,21,0.9783254861831665
2025-10-01 23:00:00,60,M4,51,0.9909065961837769
2025-10-01 23:00:00,120,M0,1,0.8185299038887024
2025-10-01 23:00:00,120,M0,3,0.8631004691123962
2025-10-01 23:00:00,120,M0,9,0.9096710085868835
2025-10-01 23:00:00,120,M0,21,0.9459555745124817
