issue_utc,lead_min,method,scale,fss
2026-07-05 01:00:00,30,M0,1,0.9514704346656799
2026-07-05 01:00:00,30,M0,3,0.9771196842193604
2026-07-05 01:00:00,30,M0,9,0.9913042783737183
2026-07-05 01:00:00,30,M0,21,0.996883749961853
2026-07-05 01:00:00,30,M0,51,0.9990437030792236
2026-07-05 01:00:00,30,M1,1,0.9630138278007507
2026-07-05 01:00:00,30,M1,3,0.9813923239707947
2026-07-05 01:00:00,30,M1,9,0.9927577376365662
2026-07-05 01:00:00,30,M1,21,0.9971350431442261
2026-07-05 01:00:00,30,M1,51,0.9991552233695984
2026-07-05 01:00:00,30,M4,1,0.9679740071296692
2026-07-05 01:00:00,30,M4,3,0.9836809039115906
2026-07-05 01:00:00,30,M4,9,0.9930328130722046
2026-07-05 01:00:00,30,M4,21,0.9968835115432739
2026-07-05 01:00:00,30,M4,51,0.9988386631011963
2026-07-05 01:00:00,60,M0,1,0.9398710131645203
2026-07-05 01:00:00,60,M0,3,0.965773344039917
2026-07-05 01:00:00,60,M0,9,0.9825897812843323
2026-07-05 01:00:00,60,M0,21,0.9923376441001892
2026-07-05 01:00:00,60,M0,51,0.9975892305374146
2026-07-05 01:00:00,60,M1,1,0.95306795835495
2026-07-05 01:00:00,60,M1,3,0.970260500907898
2026-07-05 01:00:00,60,M1,9,0.9839648008346558
2026-07-05 01:00:00,60,M1,21,0.9925979971885681
2026-07-05 01:00:00,60,M1,51,0.9978142976760864
2026-07-05 01:00:00,60,M4,1,0.9617702960968018
2026-07-05 01:00:00,60,M4,3,0.9770449995994568
2026-07-05 01:00:00,60,M4,9,0.9876843690872192
2026-07-05 01:00:00,60,M4,21,0.99399733543396
2026-07-05 01:00:00,60,M4,51,0.9978084564208984
2026-07-05 01:00:00,120,M0,1,0.9244856238365173
2026-07-05 01:00:00,120,M0,3,0.9516540765762329
2026-07-05 01:00:00,120,M0,9,0.9709103107452393
2026-07-05 01:00:00,120,M0,21,0.9844862222671509
2026-07-05 01:00:00,120,M0,51,0.995039165019989
