issue_utc,lead_min,method,scale,fss
2026-06-20 01:00:00,30,M0,1,0.965262770652771
2026-06-20 01:00:00,30,M0,3,0.9812421202659607
2026-06-20 01:00:00,30,M0,9,0.9927969574928284
2026-06-20 01:00:00,30,M0,21,0.9974809288978577
2026-06-20 01:00:00,30,M0,51,0.9993689060211182
2026-06-20 01:00:00,30,M1,1,0.9728657603263855
2026-06-20 01:00:00,30,M1,3,0.9853256940841675
2026-06-20 01:00:00,30,M1,9,0.9943546056747437
2026-06-20 01:00:00,30,M1,21,0.9979188442230225
2026-06-20 01:00:00,30,M1,51,0.9993210434913635
2026-06-20 01:00:00,30,M4,1,0.9759204983711243
2026-06-20 01:00:00,30,M4,3,0.9867706298828125
2026-06-20 01:00:00,30,M4,9,0.9945369958877563
2026-06-20 01:00:00,30,M4,21,0.9976826310157776
2026-06-20 01:00:00,30,M4,51,0.9989680647850037
2026-06-20 01:00:00,60,M0,1,0.9549528360366821
2026-06-20 01:00:00,60,M0,3,0.9722436666488647
2026-06-20 01:00:00,60,M0,9,0.9862361550331116
2026-06-20 01:00:00,60,M0,21,0.9941495656967163
2026-06-20 01:00:00,60,M0,51,0.9984356164932251
2026-06-20 01:00:00,60,M1,1,0.9651858806610107
2026-06-20 01:00:00,60,M1,3,0.9775756001472473
2026-06-20 01:00:00,60,M1,9,0.989265501499176
2026-06-20 01:00:00,60,M1,21,0.9957895874977112
2026-06-20 01:00:00,60,M1,51,0.998676598072052
2026-06-20 01:00:00,60,M4,1,0.9690308570861816
2026-06-20 01:00:00,60,M4,3,0.9801989197731018
2026-06-20 01:00:00,60,M4,9,0.9898616075515747
2026-06-20 01:00:00,60,M4,21,0.9953235983848572
2026-06-20 01:00:00,60,M4,51,0.998025119304657
2026-06-20 01:00:00,120,M0,1,0.9332916140556335
2026-06-20 01:00:00,120,M0,3,0.9522478580474854
2026-06-20 01:00:00,120,M0,9,0.9695242643356323
2026-06-20 01:00:00,120,M0,21,0.9824405908584595
2026-06-20 01:00:00,120,M0,51,0.9929340481758118
2026-06-20 01:00:00,120,M1,1,0.9466909170150757
2026-06-20 01:00:00,120,M1,3,0.960016667842865
2026-06-20 01:00:00,120,M1,9,0.9744450449943542
2026-06-20 01:00:00,120,M1,21,0.98639976978302
2026-06-20 01:00:00,120,M1,51,0.9948956370353699
2026-06-20 01:00:00,120,M4,1,0.9515959024429321
2026-06-20 01:00:00,120,M4,3,0.9640774726867676
2026-06-20 01:00:00,120,M4,9,0.9765691757202148
2026-06-20 01:00:00,120,M4,21,0.986411988735199
2026-06-20 01:00:00,120,M4,51,0.9943251609802246
2026-06-20 01:00:00,180,M0,1,0.9139302372932434
2026-06-20 01:00:00,180,M0,3,0.9337119460105896
2026-06-20 01:00:00,180,M0,9,0.9523193836212158
2026-06-20 01:00:00,180,M0,21,0.9667438864707947
2026-06-20 01:00:00,180,M0,51,0.9820489883422852
2026-06-20 01:00:00,180,M1,1,0.9288656115531921
2026-06-20 01:00:00,180,M1,3,0.9424657821655273
2026-06-20 01:00:00,180,M1,9,0.9577027559280396
2026-06-20 01:00:00,180,M1,21,0.972750186920166
2026-06-20 01:00:00,180,M1,51,0.9873467683792114
2026-06-20 01:00:00,180,M4,1,0.9371808767318726
2026-06-20 01:00:00,180,M4,3,0.9505622386932373
2026-06-20 01:00:00,180,M4,9,0.9645774364471436
2026-06-20 01:00:00,180,M4,21,0.9772130250930786
2026-06-20 01:00:00,180,M4,51,0.989955723285675
2026-06-20 01:00:00,240,M0,1,0.9007025957107544
2026-06-20 01:00:00,240,M0,3,0.919841468334198
2026-06-20 01:00:00,240,M0,9,0.9377050399780273
2026-06-20 01:00:00,240,M0,21,0.951429009437561
2026-06-20 01:00:00,240,M0,51,0.9682385325431824
2026-06-20 01:00:00,240,M1,1,0.923456072807312
2026-06-20 01:00:00,240,M1,3,0.935923159122467
2026-06-20 01:00:00,240,M1,9,0.949203372001648
2026-06-20 01:00:00,240,M1,21,0.9623087048530579
2026-06-20 01:00:00,240,M1,51,0.9775012135505676
2026-06-20 01:00:00,240,M4,1,0.9237340092658997
2026-06-20 01:00:00,240,M4,3,0.9371877908706665
2026-06-20 01:00:00,240,M4,9,0.9515451788902283
2026-06-20 01:00:00,240,M4,21,0.9662489295005798
2026-06-20 01:00:00,240,M4,51,0.9846389889717102
2026-06-20 01:00:00,300,M0,1,0.8839227557182312
2026-06-20 01:00:00,300,M0,3,0.9019320607185364
2026-06-20 01:00:00,300,M0,9,0.9186705946922302
2026-06-20 01:00:00,300,M0,21,0.9327664375305176
2026-06-20 01:00:00,300,M0,51,0.9528271555900574
2026-06-20 01:00:00,300,M1,1,0.9168883562088013
2026-06-20 01:00:00,300,M1,3,0.9283711910247803
2026-06-20 01:00:00,300,M1,9,0.9406495690345764
2026-06-20 01:00:00,300,M1,21,0.9534842371940613
2026-06-20 01:00:00,300,M1,51,0.9702802896499634
2026-06-20 01:00:00,300,M4,1,0.919743537902832
2026-06-20 01:00:00,300,M4,3,0.9327813982963562
2026-06-20 01:00:00,300,M4,9,0.9468823671340942
2026-06-20 01:00:00,300,M4,21,0.9609614610671997
2026-06-20 01:00:00,300,M4,51,0.978872537612915
2026-06-20 01:00:00,360,M0,1,0.8742779493331909
2026-06-20 01:00:00,360,M0,3,0.8924919962882996
2026-06-20 01:00:00,360,M0,9,0.9098775386810303
2026-06-20 01:00:00,360,M0,21,0.9252832531929016
2026-06-20 01:00:00,360,M0,51,0.947053849697113
2026-06-20 01:00:00,360,M1,1,0.9044336080551147
2026-06-20 01:00:00,360,M1,3,0.916276216506958
2026-06-20 01:00:00,360,M1,9,0.9291952848434448
2026-06-20 01:00:00,360,M1,21,0.9435358047485352
2026-06-20 01:00:00,360,M1,51,0.9654068946838379
2026-06-20 01:00:00,360,M4,1,0.908357560634613
2026-06-20 01:00:00,360,M4,3,0.9224192500114441
2026-06-20 01:00:00,360,M4,9,0.9379373788833618
2026-06-20 01:00:00,360,M4,21,0.9535946249961853
2026-06-20 01:00:00,360,M4,51,0.9744202494621277
2026-06-20 03:00:00,30,M0,1,0.954142689704895
2026-06-20 03:00:00,30,M0,3,0.9752827882766724
2026-06-20 03:00:00,30,M0,9,0.9905107617378235
2026-06-20 03:00:00,30,M0,21,0.9965670108795166
2026-06-20 03:00:00,30,M0,51,0.9989590644836426
2026-06-20 03:00:00,30,M1,1,0.9650471210479736
2026-06-20 03:00:00,30,M1,3,0.9815139770507812
2026-06-20 03:00:00,30,M1,9,0.9932230114936829
2026-06-20 03:00:00,30,M1,21,0.9976017475128174
2026-06-20 03:00:00,30,M1,51,0.9994273781776428
2026-06-20 03:00:00,30,M4,1,0.9674928784370422
2026-06-20 03:00:00,30,M4,3,0.9820207953453064
2026-06-20 03:00:00,30,M4,9,0.9924659729003906
2026-06-20 03:00:00,30,M4,21,0.9967783093452454
2026-06-20 03:00:00,30,M4,51,0.9989318251609802
2026-06-20 03:00:00,60,M0,1,0.9370031356811523
2026-06-20 03:00:00,60,M0,3,0.9591890573501587
2026-06-20 03:00:00,60,M0,9,0.9783128499984741
2026-06-20 03:00:00,60,M0,21,0.9897855520248413
2026-06-20 03:00:00,60,M0,51,0.9960224032402039
2026-06-20 03:00:00,60,M1,1,0.9485492706298828
2026-06-20 03:00:00,60,M1,3,0.9653567671775818
2026-06-20 03:00:00,60,M1,9,0.9823623299598694
2026-06-20 03:00:00,60,M1,21,0.9924635291099548
2026-06-20 03:00:00,60,M1,51,0.9974665641784668
2026-06-20 03:00:00,60,M4,1,0.9570468068122864
2026-06-20 03:00:00,60,M4,3,0.9715151190757751
2026-06-20 03:00:00,60,M4,9,0.9845718741416931
2026-06-20 03:00:00,60,M4,21,0.9924584031105042
2026-06-20 03:00:00,60,M4,51,0.9971832633018494
2026-06-20 03:00:00,120,M0,1,0.9200180172920227
2026-06-20 03:00:00,120,M0,3,0.9417808055877686
2026-06-20 03:00:00,120,M0,9,0.9615791440010071
