var,city,model,lead,n,ME,MAE
dswrf,인천,GFS,120-240h,3,-110.44,248.8
dswrf,인천,KIM,000-024h,121,28.42,94.33
dswrf,인천,KIM,024-048h,108,20.14,87.87
dswrf,인천,KIM,048-072h,98,53.15,108.48
dswrf,인천,KIM,072-120h,5,205.94,205.94
dswrf,전주,ECMWF,000-024h,23,1.61,42.78
dswrf,전주,ECMWF,024-048h,20,18.54,48.62
dswrf,전주,ECMWF,048-072h,16,38.5,81.41
dswrf,전주,ECMWF,072-120h,16,120.08,149.85
dswrf,전주,GFS,000-024h,170,48.47,91.66
dswrf,전주,GFS,024-048h,168,52.81,104.41
dswrf,전주,GFS,048-072h,156,71.45,103.63
dswrf,전주,GFS,072-120h,266,25.73,126.71
dswrf,전주,GFS,120-240h,3,-411.78,411.78
dswrf,전주,KIM,000-024h,121,7.65,77.84
dswrf,전주,KIM,024-048h,108,-0.97,72.5
dswrf,전주,KIM,048-072h,98,6.62,108.22
dswrf,전주,KIM,072-120h,5,102.76,123.79
dswrf,제주,ECMWF,000-024h,23,128.75,129.81
dswrf,제주,ECMWF,024-048h,20,106.44,108.15
dswrf,제주,ECMWF,048-072h,16,102.42,102.42
dswrf,제주,ECMWF,072-120h,16,76.52,77.01
dswrf,제주,GFS,000-024h,170,115.02,120.73
dswrf,제주,GFS,024-048h,168,102.39,125.68
dswrf,제주,GFS,048-072h,156,99.64,145.99
dswrf,제주,GFS,072-120h,266,61.39,171.57
dswrf,제주,GFS,120-240h,3,-261.2,394.12
dswrf,제주,KIM,000-024h,121,85.17,113.77
dswrf,제주,KIM,024-048h,108,90.13,134.17
dswrf,제주,KIM,048-072h,98,70.88,124.9
dswrf,제주,KIM,072-120h,5,31.73,100.35
t2m,강릉,ECMWF,000-024h,269,-0.44,1.23
t2m,강릉,ECMWF,024-048h,264,-0.24,1.25
t2m,강릉,ECMWF,048-072h,257,-0.25,1.26
t2m,강릉,ECMWF,072-120h,479,-0.15,1.54
t2m,강릉,ECMWF,120-240h,637,0.0,1.68
t2m,강릉,ECMWF,240h+,24,0.03,1.7
t2m,강릉,GFS,000-024h,440,-0.82,1.55
t2m,강릉,GFS,024-048h,416,-0.8,1.64
t2m,강릉,GFS,048-072h,389,-0.81,1.8
t2m,강릉,GFS,072-120h,683,-1.15,2.01
t2m,강릉,GFS,120-240h,38,-0.98,2.02
t2m,강릉,KIM,000-024h,294,0.14,1.33
t2m,강릉,KIM,024-048h,270,0.36,1.59
t2m,강릉,KIM,048-072h,232,0.44,1.68
t2m,강릉,KIM,072-120h,27,1.2,1.64
t2m,광주,ECMWF,000-024h,269,-1.76,1.98
t2m,광주,ECMWF,024-048h,264,-1.82,2.06
t2m,광주,ECMWF,048-072h,257,-1.78,2.03
t2m,광주,ECMWF,072-120h,479,-2.1,2.31
t2m,광주,ECMWF,120-240h,637,-2.26,2.52
t2m,광주,ECMWF,240h+,24,-2.58,2.98
t2m,광주,GFS,000-024h,440,-2.52,2.68
t2m,광주,GFS,024-048h,416,-2.78,2.91
t2m,광주,GFS,048-072h,389,-2.76,2.97
t2m,광주,GFS,072-120h,683,-3.03,3.2
t2m,광주,GFS,120-240h,38,-3.65,3.66
t2m,광주,KIM,000-024h,294,-1.65,1.77
t2m,광주,KIM,024-048h,270,-1.77,1.87
t2m,광주,KIM,048-072h,232,-1.59,1.74
t2m,광주,KIM,072-120h,27,-1.24,1.58
t2m,대구,ECMWF,000-024h,269,-2.53,2.55
t2m,대구,ECMWF,024-048h,264,-2.31,2.36
t2m,대구,ECMWF,048-072h,257,-2.28,2.32
t2m,대구,ECMWF,072-120h,479,-2.44,2.57
t2m,대구,ECMWF,120-240h,637,-2.68,2.89
t2m,대구,ECMWF,240h+,24,-3.05,3.35
t2m,대구,GFS,000-024h,440,-2.86,2.92
t2m,대구,GFS,024-048h,416,-2.96,3.01
t2m,대구,GFS,048-072h,389,-2.86,2.94
t2m,대구,GFS,072-120h,683,-3.1,3.22
