model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-08-19 12:00,2026-08-19 21:00,0,서울,1,27.2,18.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 00:00,3,서울,1,25.2,98.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 03:00,6,서울,1,24.8,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 06:00,9,서울,1,24.4,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 09:00,12,서울,1,26.4,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 12:00,15,서울,1,28.3,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 15:00,18,서울,1,28.8,99.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 18:00,21,서울,1,29.4,96.0,,,,
ECMWF,2026-08-19 12:00,2026-08-20 21:00,24,서울,1,27.5,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 00:00,27,서울,1,26.1,81.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 03:00,30,서울,1,25.5,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 06:00,33,서울,1,25.2,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 09:00,36,서울,1,26.1,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 12:00,39,서울,1,25.4,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 15:00,42,서울,1,26.1,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 18:00,45,서울,1,26.1,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-21 21:00,48,서울,1,25.4,96.0,,,,
ECMWF,2026-08-19 12:00,2026-08-22 00:00,51,서울,1,25.1,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-22 03:00,54,서울,1,24.9,100.0,,,,
ECMWF,2026-08-19 12:00,2026-08-22 06:00,57,서울,1,23.7,100.0,,,,
