model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-09-03 12:00,2026-09-03 21:00,0,서울,1,24.4,9.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 00:00,3,서울,1,22.2,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 03:00,6,서울,1,20.6,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 06:00,9,서울,1,19.6,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 09:00,12,서울,1,22.9,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 12:00,15,서울,1,26.4,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 15:00,18,서울,1,27.7,7.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 18:00,21,서울,1,25.0,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-04 21:00,24,서울,1,21.5,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 00:00,27,서울,1,19.8,70.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 03:00,30,서울,1,18.7,11.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 06:00,33,서울,1,18.2,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 09:00,36,서울,1,22.0,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 12:00,39,서울,1,26.0,54.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 15:00,42,서울,1,27.0,27.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 18:00,45,서울,1,24.0,73.0,,,,
ECMWF,2026-09-03 12:00,2026-09-05 21:00,48,서울,1,21.2,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 00:00,51,서울,1,19.4,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 03:00,54,서울,1,18.7,6.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 06:00,57,서울,1,18.4,1.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 09:00,60,서울,1,22.5,1.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 12:00,63,서울,1,26.3,43.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 15:00,66,서울,1,26.8,34.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 18:00,69,서울,1,24.4,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-06 21:00,72,서울,1,20.8,1.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 00:00,75,서울,1,19.0,1.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 03:00,78,서울,1,17.9,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 06:00,81,서울,1,17.4,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 09:00,84,서울,1,21.5,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 12:00,87,서울,1,25.7,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 15:00,90,서울,1,27.8,28.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 18:00,93,서울,1,25.0,4.0,,,,
ECMWF,2026-09-03 12:00,2026-09-07 21:00,96,서울,1,21.3,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 00:00,99,서울,1,19.2,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 03:00,102,서울,1,17.4,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 06:00,105,서울,1,16.0,23.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 09:00,108,서울,1,20.8,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 12:00,111,서울,1,26.2,26.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 15:00,114,서울,1,28.4,0.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 18:00,117,서울,1,26.4,2.0,,,,
ECMWF,2026-09-03 12:00,2026-09-08 21:00,120,서울,1,22.3,12.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 00:00,123,서울,1,20.9,3.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 03:00,126,서울,1,19.8,68.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 06:00,129,서울,1,19.2,12.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 09:00,132,서울,1,21.7,8.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 12:00,135,서울,1,25.3,33.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 15:00,138,서울,1,25.4,30.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 18:00,141,서울,1,22.0,3.0,,,,
ECMWF,2026-09-03 12:00,2026-09-09 21:00,144,서울,1,18.9,18.0,,,,
ECMWF,2026-09-03 12:00,2026-09-10 03:00,150,서울,1,16.6,79.0,,,,
ECMWF,2026-09-03 12:00,2026-09-10 09:00,156,서울,1,19.7,50.0,,,,
ECMWF,2026-09-03 12:00,2026-09-10 15:00,162,서울,1,24.1,11.0,,,,
ECMWF,2026-09-03 12:00,2026-09-10 21:00,168,서울,1,18.8,11.0,,,,
ECMWF,2026-09-03 12:00,2026-09-11 03:00,174,서울,1,16.3,15.0,,,,
ECMWF,2026-09-03 12:00,2026-09-11 09:00,180,서울,1,19.4,79.0,,,,
ECMWF,2026-09-03 12:00,2026-09-11 15:00,186,서울,1,24.4,100.0,,,,
ECMWF,2026-09-03 12:00,2026-09-11 21:00,192,서울,1,20.2,100.0,,,,
ECMWF,2026-09-03 12:00,2026-09-12 03:00,198,서울,1,18.0,100.0,,,,
ECMWF,2026-09-03 12:00,2026-09-12 09:00,204,서울,1,20.3,98.0,,,,
ECMWF,2026-09-03 12:00,2026-09-12 15:00,210,서울,1,25.3,97.0,,,,
