model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2,tp_mm,win_h,src
ECMWF,2026-09-24 12:00,2026-09-24 21:00,0,서울,1,23.3,72.0,,,,,,,
ECMWF,2026-09-24 12:00,2026-09-25 00:00,3,서울,1,21.5,22.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 03:00,6,서울,1,20.4,99.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 06:00,9,서울,1,19.2,100.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 09:00,12,서울,1,22.6,100.0,,,,106.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 12:00,15,서울,1,24.8,100.0,,,,249.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 15:00,18,서울,1,21.9,100.0,,,,126.0,1.6,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 18:00,21,서울,1,20.6,100.0,,,,36.0,2.6,3.0,
ECMWF,2026-09-24 12:00,2026-09-25 21:00,24,서울,1,19.5,100.0,,,,1.0,0.1,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 00:00,27,서울,1,19.2,100.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 03:00,30,서울,1,18.9,100.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 06:00,33,서울,1,18.8,97.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 09:00,36,서울,1,21.4,49.0,,,,140.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 12:00,39,서울,1,25.4,32.0,,,,596.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 15:00,42,서울,1,26.5,53.0,,,,476.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 18:00,45,서울,1,24.9,85.0,,,,203.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-26 21:00,48,서울,1,21.8,78.0,,,,1.0,0.0,3.0,
ECMWF,2026-09-24 12:00,2026-09-27 00:00,51,서울,1,20.2,21.0,,,,0.0,0.0,3.0,
