model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2,tp_mm,win_h,src
ECMWF,2026-09-21 12:00,2026-09-21 21:00,0,서울,1,24.6,3.0,,,,,,,
ECMWF,2026-09-21 12:00,2026-09-22 00:00,3,서울,1,21.5,4.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 03:00,6,서울,1,19.3,22.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 06:00,9,서울,1,18.0,40.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 09:00,12,서울,1,22.3,2.0,,,,178.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 12:00,15,서울,1,27.6,5.0,,,,658.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 15:00,18,서울,1,29.4,34.0,,,,726.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 18:00,21,서울,1,28.2,17.0,,,,299.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-22 21:00,24,서울,1,25.4,13.0,,,,2.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 00:00,27,서울,1,22.8,18.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 03:00,30,서울,1,20.0,38.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 06:00,33,서울,1,19.4,63.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 09:00,36,서울,1,22.4,4.0,,,,149.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 12:00,39,서울,1,27.6,1.0,,,,643.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 15:00,42,서울,1,28.9,40.0,,,,640.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 18:00,45,서울,1,25.3,4.0,,,,223.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-23 21:00,48,서울,1,22.4,5.0,,,,2.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 00:00,51,서울,1,21.2,14.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 03:00,54,서울,1,20.2,58.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 06:00,57,서울,1,18.9,100.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 09:00,60,서울,1,20.4,97.0,,,,85.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 12:00,63,서울,1,23.5,99.0,,,,324.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 15:00,66,서울,1,26.1,96.0,,,,445.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 18:00,69,서울,1,25.7,91.0,,,,233.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-24 21:00,72,서울,1,23.0,78.0,,,,2.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 00:00,75,서울,1,20.9,7.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 03:00,78,서울,1,19.4,97.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 06:00,81,서울,1,18.3,99.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 09:00,84,서울,1,21.3,100.0,,,,96.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 12:00,87,서울,1,24.7,100.0,,,,323.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 15:00,90,서울,1,24.4,100.0,,,,270.0,0.0,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 18:00,93,서울,1,18.7,100.0,,,,70.0,2.4,3.0,
ECMWF,2026-09-21 12:00,2026-09-25 21:00,96,서울,1,19.5,98.0,,,,0.0,1.8,3.0,
