model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-08-31 12:00,2026-08-31 21:00,0,서울,1,23.8,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 00:00,3,서울,1,23.3,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 03:00,6,서울,1,22.7,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 06:00,9,서울,1,22.7,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 09:00,12,서울,1,22.9,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 12:00,15,서울,1,23.6,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 15:00,18,서울,1,24.5,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 18:00,21,서울,1,24.0,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-01 21:00,24,서울,1,22.9,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 00:00,27,서울,1,22.3,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 03:00,30,서울,1,22.1,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 06:00,33,서울,1,21.7,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 09:00,36,서울,1,23.4,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 12:00,39,서울,1,25.9,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 15:00,42,서울,1,26.6,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 18:00,45,서울,1,25.9,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-02 21:00,48,서울,1,24.1,100.0,,,,
ECMWF,2026-08-31 12:00,2026-09-03 00:00,51,서울,1,22.6,88.0,,,,
ECMWF,2026-08-31 12:00,2026-09-03 03:00,54,서울,1,21.9,40.0,,,,
ECMWF,2026-08-31 12:00,2026-09-03 06:00,57,서울,1,20.1,0.0,,,,
ECMWF,2026-08-31 12:00,2026-09-03 09:00,60,서울,1,23.6,2.0,,,,
