model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2,tp_mm,win_h,src
ECMWF,2026-09-18 12:00,2026-09-18 21:00,0,서울,1,23.0,33.0,,,,,,,
ECMWF,2026-09-18 12:00,2026-09-19 00:00,3,서울,1,20.7,98.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 03:00,6,서울,1,19.3,39.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 06:00,9,서울,1,18.9,99.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 09:00,12,서울,1,21.2,93.0,,,,108.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 12:00,15,서울,1,26.5,1.0,,,,628.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 15:00,18,서울,1,28.3,18.0,,,,724.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 18:00,21,서울,1,26.9,19.0,,,,298.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-19 21:00,24,서울,1,22.6,2.0,,,,4.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 00:00,27,서울,1,20.0,11.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 03:00,30,서울,1,18.1,7.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 06:00,33,서울,1,17.0,40.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 09:00,36,서울,1,20.4,21.0,,,,187.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 12:00,39,서울,1,25.9,1.0,,,,673.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 15:00,42,서울,1,28.5,5.0,,,,751.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 18:00,45,서울,1,26.3,0.0,,,,333.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-20 21:00,48,서울,1,23.6,5.0,,,,4.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 00:00,51,서울,1,21.2,27.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 03:00,54,서울,1,19.2,29.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 06:00,57,서울,1,17.8,3.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 09:00,60,서울,1,21.7,3.0,,,,184.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 12:00,63,서울,1,27.9,0.0,,,,674.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 15:00,66,서울,1,29.9,0.0,,,,751.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 18:00,69,서울,1,27.6,0.0,,,,332.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-21 21:00,72,서울,1,22.4,0.0,,,,3.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 00:00,75,서울,1,19.6,0.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 03:00,78,서울,1,18.0,0.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 06:00,81,서울,1,16.8,43.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 09:00,84,서울,1,21.1,42.0,,,,177.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 12:00,87,서울,1,26.5,42.0,,,,647.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 15:00,90,서울,1,28.5,3.0,,,,738.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 18:00,93,서울,1,27.0,1.0,,,,325.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-22 21:00,96,서울,1,23.7,0.0,,,,3.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 00:00,99,서울,1,21.0,0.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 03:00,102,서울,1,18.7,0.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 06:00,105,서울,1,17.6,14.0,,,,0.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 09:00,108,서울,1,21.5,1.0,,,,174.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 12:00,111,서울,1,26.8,0.0,,,,653.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 15:00,114,서울,1,28.8,24.0,,,,674.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 18:00,117,서울,1,25.3,3.0,,,,279.0,0.0,3.0,
ECMWF,2026-09-18 12:00,2026-09-23 21:00,120,서울,1,21.9,1.0,,,,3.0,0.0,3.0,
