model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2,tp_mm,win_h,src
GFS,2026-09-26 00:00,2026-09-26 09:00,0,서울,1,20.3,100.0,85.0,0.0,100.0,,,,
GFS,2026-09-26 00:00,2026-09-26 12:00,3,서울,1,25.0,44.0,36.0,0.0,10.0,430.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-26 15:00,6,서울,1,27.2,100.0,1.0,0.0,100.0,687.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-26 18:00,9,서울,1,24.7,69.0,12.0,0.0,69.0,213.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-26 21:00,12,서울,1,22.9,84.0,0.0,0.0,84.0,1.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 00:00,15,서울,1,21.8,97.0,0.0,1.0,97.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 03:00,18,서울,1,20.8,23.0,0.0,4.0,22.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 06:00,21,서울,1,19.6,39.0,0.0,6.0,39.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 09:00,24,서울,1,22.3,5.0,0.0,5.0,0.0,155.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 12:00,27,서울,1,27.4,44.0,0.0,2.0,43.0,636.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 15:00,30,서울,1,28.0,100.0,0.0,3.0,100.0,641.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 18:00,33,서울,1,24.6,100.0,0.0,66.0,100.0,178.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-27 21:00,36,서울,1,22.7,82.0,0.0,2.0,82.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 00:00,39,서울,1,21.6,100.0,0.0,10.0,100.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 03:00,42,서울,1,20.8,63.0,13.0,30.0,63.0,0.0,0.1,3.0,
GFS,2026-09-26 00:00,2026-09-28 06:00,45,서울,1,20.1,100.0,1.0,48.0,100.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 09:00,48,서울,1,21.6,100.0,20.0,79.0,100.0,114.0,0.1,3.0,
GFS,2026-09-26 00:00,2026-09-28 12:00,51,서울,1,25.1,99.0,0.0,99.0,82.0,495.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 15:00,54,서울,1,26.3,92.0,0.0,67.0,87.0,627.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 18:00,57,서울,1,23.6,100.0,0.0,44.0,100.0,256.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-28 21:00,60,서울,1,21.8,100.0,0.0,68.0,100.0,1.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 00:00,63,서울,1,21.1,100.0,0.0,95.0,100.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 03:00,66,서울,1,19.9,100.0,0.0,99.0,90.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 06:00,69,서울,1,18.8,100.0,0.0,100.0,46.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 09:00,72,서울,1,20.9,12.0,0.0,12.0,0.0,157.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 12:00,75,서울,1,25.8,0.0,0.0,0.0,0.0,643.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 15:00,78,서울,1,27.1,0.0,0.0,0.0,0.0,712.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 18:00,81,서울,1,23.7,0.0,0.0,0.0,0.0,287.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-29 21:00,84,서울,1,21.9,0.0,0.0,0.0,0.0,1.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-30 00:00,87,서울,1,20.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-30 03:00,90,서울,1,19.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-30 06:00,93,서울,1,18.1,5.0,0.0,5.0,0.0,0.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-30 09:00,96,서울,1,21.2,11.0,0.0,11.0,0.0,160.0,0.0,3.0,
GFS,2026-09-26 00:00,2026-09-30 12:00,99,서울,1,25.6,0.0,0.0,0.0,0.0,632.0,0.0,3.0,
