model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2,tp_mm,win_h,src
GFS,2026-09-23 00:00,2026-09-23 09:00,0,서울,1,23.2,4.0,0.0,4.0,0.0,,,,
GFS,2026-09-23 00:00,2026-09-23 12:00,3,서울,1,28.0,22.0,1.0,22.0,0.0,644.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-23 15:00,6,서울,1,28.7,7.0,4.0,5.0,0.0,713.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-23 18:00,9,서울,1,25.3,1.0,0.0,0.0,0.0,304.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-23 21:00,12,서울,1,23.1,0.0,0.0,0.0,0.0,2.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 00:00,15,서울,1,22.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 03:00,18,서울,1,21.1,1.0,0.0,0.0,1.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 06:00,21,서울,1,20.1,15.0,1.0,0.0,15.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 09:00,24,서울,1,23.1,58.0,7.0,5.0,54.0,158.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 12:00,27,서울,1,27.2,98.0,0.0,57.0,98.0,530.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 15:00,30,서울,1,28.7,100.0,0.0,98.0,100.0,590.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 18:00,33,서울,1,26.7,100.0,0.0,100.0,100.0,153.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 21:00,36,서울,1,24.3,33.0,0.0,33.0,4.0,1.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 00:00,39,서울,1,22.5,74.0,0.0,0.0,74.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 03:00,42,서울,1,21.6,100.0,0.0,2.0,100.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 06:00,45,서울,1,20.5,100.0,0.0,98.0,100.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 09:00,48,서울,1,22.4,100.0,0.0,100.0,99.0,100.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 12:00,51,서울,1,25.1,100.0,0.0,100.0,71.0,296.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-25 15:00,54,서울,1,25.8,100.0,48.0,100.0,100.0,400.0,0.1,3.0,
GFS,2026-09-23 00:00,2026-09-25 18:00,57,서울,1,21.5,100.0,100.0,100.0,100.0,39.0,0.8,3.0,
GFS,2026-09-23 00:00,2026-09-25 21:00,60,서울,1,19.1,100.0,100.0,100.0,100.0,0.0,3.2,3.0,
GFS,2026-09-23 00:00,2026-09-26 00:00,63,서울,1,18.5,100.0,100.0,100.0,100.0,0.0,0.9,3.0,
GFS,2026-09-23 00:00,2026-09-26 03:00,66,서울,1,17.7,100.0,97.0,81.0,100.0,0.0,1.8,3.0,
GFS,2026-09-23 00:00,2026-09-26 06:00,69,서울,1,17.8,100.0,84.0,21.0,100.0,0.0,0.1,3.0,
GFS,2026-09-23 00:00,2026-09-26 09:00,72,서울,1,20.0,100.0,16.0,1.0,100.0,135.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-26 12:00,75,서울,1,24.3,43.0,2.0,0.0,41.0,550.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-26 15:00,78,서울,1,26.3,96.0,23.0,0.0,96.0,596.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-26 18:00,81,서울,1,24.9,98.0,35.0,17.0,97.0,232.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-26 21:00,84,서울,1,23.0,100.0,0.0,77.0,100.0,1.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 00:00,87,서울,1,21.7,100.0,0.0,100.0,98.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 03:00,90,서울,1,20.5,82.0,0.0,3.0,82.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 06:00,93,서울,1,19.5,10.0,0.0,0.0,10.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 09:00,96,서울,1,22.1,58.0,0.0,0.0,58.0,146.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 12:00,99,서울,1,26.8,0.0,0.0,0.0,0.0,631.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 15:00,102,서울,1,28.1,20.0,0.0,0.0,20.0,705.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 18:00,105,서울,1,24.4,70.0,0.0,0.0,70.0,276.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-27 21:00,108,서울,1,22.6,97.0,0.0,23.0,97.0,1.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-28 00:00,111,서울,1,21.4,100.0,0.0,88.0,100.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-28 03:00,114,서울,1,20.7,100.0,0.0,46.0,100.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-28 06:00,117,서울,1,19.9,71.0,13.0,10.0,68.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-28 09:00,120,서울,1,22.0,61.0,42.0,0.0,41.0,146.0,0.1,3.0,
GFS,2026-09-23 00:00,2026-09-28 21:00,132,서울,1,22.5,100.0,1.0,5.0,100.0,128.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-09-29 09:00,144,서울,1,22.4,100.0,3.0,100.0,100.0,46.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-09-29 21:00,156,서울,1,21.9,19.0,19.0,0.0,1.0,17.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-09-30 09:00,168,서울,1,21.4,96.0,35.0,96.0,75.0,65.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-09-30 21:00,180,서울,1,21.1,98.0,15.0,93.0,94.0,68.0,0.4,6.0,
GFS,2026-09-23 00:00,2026-10-01 09:00,192,서울,1,17.7,100.0,0.0,100.0,100.0,34.0,0.1,6.0,
GFS,2026-09-23 00:00,2026-10-01 21:00,204,서울,1,15.7,100.0,0.0,98.0,98.0,53.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-10-02 09:00,216,서울,1,16.2,30.0,0.0,0.0,30.0,83.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-10-02 21:00,228,서울,1,17.1,0.0,0.0,0.0,0.0,141.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-10-03 09:00,240,서울,1,16.4,0.0,0.0,0.0,0.0,77.0,0.0,6.0,
GFS,2026-09-23 00:00,2026-09-23 09:00,0,대전,1,21.5,8.0,0.0,8.0,0.0,,,,
GFS,2026-09-23 00:00,2026-09-23 12:00,3,대전,1,27.0,60.0,2.0,9.0,60.0,653.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-23 15:00,6,대전,1,26.9,79.0,18.0,7.0,79.0,655.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-23 18:00,9,대전,1,21.9,67.0,13.0,1.0,65.0,212.0,0.1,3.0,
GFS,2026-09-23 00:00,2026-09-23 21:00,12,대전,1,18.6,69.0,0.0,0.0,69.0,2.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 00:00,15,대전,1,17.7,21.0,0.0,0.0,21.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 03:00,18,대전,1,17.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 06:00,21,대전,1,16.6,68.0,1.0,0.0,67.0,0.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 09:00,24,대전,1,21.7,100.0,5.0,31.0,100.0,158.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 12:00,27,대전,1,25.2,100.0,0.0,0.0,100.0,415.0,0.0,3.0,
GFS,2026-09-23 00:00,2026-09-24 15:00,30,대전,1,27.3,100.0,0.0,92.0,100.0,675.0,0.0,3.0,
