model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-08-28 00:00,2026-08-28 09:00,0,서울,1,26.6,98.0,,,,
ECMWF,2026-08-28 00:00,2026-08-28 12:00,3,서울,1,28.2,98.0,,,,
ECMWF,2026-08-28 00:00,2026-08-28 15:00,6,서울,1,28.9,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-28 18:00,9,서울,1,25.7,97.0,,,,
ECMWF,2026-08-28 00:00,2026-08-28 21:00,12,서울,1,25.1,95.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 00:00,15,서울,1,24.8,99.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 03:00,18,서울,1,24.0,99.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 06:00,21,서울,1,24.4,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 09:00,24,서울,1,26.1,43.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 12:00,27,서울,1,29.3,51.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 15:00,30,서울,1,29.8,0.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 18:00,33,서울,1,27.7,2.0,,,,
ECMWF,2026-08-28 00:00,2026-08-29 21:00,36,서울,1,24.8,35.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 00:00,39,서울,1,23.5,31.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 03:00,42,서울,1,22.4,93.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 06:00,45,서울,1,21.9,98.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 09:00,48,서울,1,23.2,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 12:00,51,서울,1,24.8,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 15:00,54,서울,1,25.1,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 18:00,57,서울,1,24.7,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-30 21:00,60,서울,1,23.8,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 00:00,63,서울,1,23.6,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 03:00,66,서울,1,22.9,99.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 06:00,69,서울,1,22.6,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 09:00,72,서울,1,22.9,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 12:00,75,서울,1,23.3,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 15:00,78,서울,1,23.3,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 18:00,81,서울,1,23.3,100.0,,,,
ECMWF,2026-08-28 00:00,2026-08-31 21:00,84,서울,1,23.1,96.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 00:00,87,서울,1,23.2,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 03:00,90,서울,1,22.7,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 06:00,93,서울,1,22.1,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 09:00,96,서울,1,22.0,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 12:00,99,서울,1,24.6,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 15:00,102,서울,1,26.5,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 18:00,105,서울,1,25.3,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-01 21:00,108,서울,1,24.3,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 00:00,111,서울,1,23.8,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 03:00,114,서울,1,23.0,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 06:00,117,서울,1,22.5,100.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 09:00,120,서울,1,25.4,98.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 12:00,123,서울,1,28.2,72.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 15:00,126,서울,1,29.9,99.0,,,,
ECMWF,2026-08-28 00:00,2026-09-02 18:00,129,서울,1,27.7,67.0,,,,
