TM,STN,TA,WS,HM,CA_TOT,SS,SI
2021-05-01 00:00:00,105,10.4,1.4,87.0,10.0,,
2021-05-01 00:00:00,108,10.8,0.3,81.0,9.0,,
2021-05-01 00:00:00,112,9.5,2.4,84.0,9.0,,
2021-05-01 00:00:00,119,10.0,0.8,94.0,10.0,,
2021-05-01 00:00:00,133,10.5,1.0,85.0,9.0,,
2021-05-01 00:00:00,143,13.8,1.8,75.0,9.0,,
2021-05-01 00:00:00,146,11.8,1.0,72.0,10.0,,
2021-05-01 00:00:00,156,10.2,0.1,82.0,10.0,,
2021-05-01 00:00:00,159,12.9,4.8,67.0,10.0,,
2021-05-01 00:00:00,184,11.6,4.8,80.0,10.0,,
2021-05-01 01:00:00,105,10.1,1.2,89.0,10.0,,
2021-05-01 01:00:00,108,10.8,2.3,83.0,10.0,,
2021-05-01 01:00:00,112,9.6,2.9,81.0,10.0,,
2021-05-01 01:00:00,119,10.0,1.1,94.0,10.0,,
2021-05-01 01:00:00,133,10.0,1.8,88.0,10.0,,
2021-05-01 01:00:00,143,13.8,2.2,80.0,10.0,,
2021-05-01 01:00:00,146,11.4,1.0,76.0,10.0,,
2021-05-01 01:00:00,156,9.7,0.0,94.0,10.0,,
2021-05-01 01:00:00,159,10.6,4.1,88.0,10.0,,
2021-05-01 01:00:00,184,11.6,4.7,86.0,10.0,,
2021-05-01 02:00:00,105,10.0,0.8,89.0,10.0,,
2021-05-01 02:00:00,108,10.5,1.8,82.0,10.0,,
2021-05-01 02:00:00,112,9.6,0.9,83.0,10.0,,
2021-05-01 02:00:00,119,9.8,0.8,93.0,10.0,,
2021-05-01 02:00:00,133,9.5,0.8,88.0,8.0,,
2021-05-01 02:00:00,143,12.8,2.4,91.0,10.0,,
2021-05-01 02:00:00,146,10.7,0.9,81.0,10.0,,
2021-05-01 02:00:00,156,9.4,0.3,98.0,10.0,,
2021-05-01 02:00:00,159,10.4,2.5,92.0,10.0,,
2021-05-01 02:00:00,184,12.2,5.5,89.0,10.0,,
2021-05-01 03:00:00,105,9.9,1.5,88.0,10.0,,
2021-05-01 03:00:00,108,10.2,1.9,82.0,10.0,,
2021-05-01 03:00:00,112,9.4,3.0,81.0,10.0,,
2021-05-01 03:00:00,119,9.4,1.4,95.0,10.0,,
2021-05-01 03:00:00,133,9.7,0.9,91.0,10.0,,
2021-05-01 03:00:00,143,10.8,1.9,98.0,10.0,,
2021-05-01 03:00:00,146,10.6,0.8,81.0,10.0,,
2021-05-01 03:00:00,156,8.8,1.3,99.0,10.0,,
2021-05-01 03:00:00,159,10.3,0.5,92.0,10.0,,
2021-05-01 03:00:00,184,11.7,2.6,89.0,2.0,,
2021-05-01 04:00:00,105,9.8,0.6,89.0,10.0,,
2021-05-01 04:00:00,108,10.2,2.0,83.0,10.0,,
2021-05-01 04:00:00,112,9.6,2.8,84.0,10.0,,
2021-05-01 04:00:00,119,9.5,0.6,95.0,10.0,,
2021-05-01 04:00:00,133,9.7,1.2,91.0,10.0,,
2021-05-01 04:00:00,143,10.1,1.8,100.0,10.0,,
2021-05-01 04:00:00,146,10.2,0.6,86.0,10.0,,
2021-05-01 04:00:00,156,8.8,0.7,99.0,10.0,,
2021-05-01 04:00:00,159,10.1,0.9,94.0,10.0,,
2021-05-01 04:00:00,184,11.6,0.9,90.0,1.0,,
2021-05-01 05:00:00,105,9.9,0.8,88.0,10.0,,
2021-05-01 05:00:00,108,9.9,2.0,90.0,10.0,,
2021-05-01 05:00:00,112,9.8,1.9,88.0,10.0,,
2021-05-01 05:00:00,119,9.2,1.8,96.0,10.0,,
2021-05-01 05:00:00,133,9.8,2.4,91.0,10.0,,
2021-05-01 05:00:00,143,9.4,2.0,100.0,10.0,,
2021-05-01 05:00:00,146,9.5,2.5,94.0,10.0,,
2021-05-01 05:00:00,156,9.4,0.5,98.0,10.0,,
2021-05-01 05:00:00,159,10.2,0.5,94.0,10.0,,
2021-05-01 05:00:00,184,12.2,0.5,91.0,6.0,,
2021-05-01 06:00:00,105,9.9,0.8,88.0,10.0,0.0,0.0
2021-05-01 06:00:00,108,9.6,2.4,90.0,9.0,0.0,0.01
2021-05-01 06:00:00,112,9.8,2.6,80.0,10.0,0.0,0.0
2021-05-01 06:00:00,119,9.1,0.7,100.0,10.0,0.0,0.0
2021-05-01 06:00:00,133,9.5,0.3,92.0,10.0,0.0,0.0
2021-05-01 06:00:00,143,9.5,3.0,100.0,10.0,0.0,0.0
2021-05-01 06:00:00,146,9.1,1.8,93.0,10.0,0.0,0.0
