TM,STN,TA,WS,HM,CA_TOT,SS,SI
2023-07-01 00:00:00,105,19.6,1.4,92.0,6.0,,
2023-07-01 00:00:00,108,24.6,1.1,88.0,4.0,,
2023-07-01 00:00:00,112,22.8,0.0,89.0,0.0,,
2023-07-01 00:00:00,119,22.7,1.1,93.0,4.0,,
2023-07-01 00:00:00,133,23.3,0.1,94.0,10.0,,
2023-07-01 00:00:00,143,22.4,2.9,85.0,9.0,,
2023-07-01 00:00:00,146,24.4,0.1,92.0,9.0,,
2023-07-01 00:00:00,156,23.7,0.0,99.0,10.0,,
2023-07-01 00:00:00,159,21.5,0.8,87.0,10.0,,
2023-07-01 00:00:00,184,25.2,5.1,88.0,10.0,,
2023-07-01 01:00:00,105,19.3,0.8,91.0,6.0,,
2023-07-01 01:00:00,108,24.3,2.2,86.0,2.0,,
2023-07-01 01:00:00,112,22.5,0.0,90.0,0.0,,
2023-07-01 01:00:00,119,22.1,0.9,96.0,6.0,,
2023-07-01 01:00:00,133,23.3,0.0,94.0,7.0,,
2023-07-01 01:00:00,143,22.3,4.1,86.0,7.0,,
2023-07-01 01:00:00,146,24.2,0.4,93.0,6.0,,
2023-07-01 01:00:00,156,23.7,0.0,99.0,10.0,,
2023-07-01 01:00:00,159,21.5,1.7,90.0,10.0,,
2023-07-01 01:00:00,184,24.9,3.8,89.0,10.0,,
2023-07-01 02:00:00,105,18.8,1.0,92.0,6.0,,
2023-07-01 02:00:00,108,24.1,1.6,88.0,6.0,,
2023-07-01 02:00:00,112,22.2,0.0,90.0,0.0,,
2023-07-01 02:00:00,119,21.7,1.3,97.0,5.0,,
2023-07-01 02:00:00,133,23.3,0.1,94.0,6.0,,
2023-07-01 02:00:00,143,22.0,2.9,88.0,7.0,,
2023-07-01 02:00:00,146,23.9,0.2,94.0,8.0,,
2023-07-01 02:00:00,156,23.5,0.0,99.0,10.0,,
2023-07-01 02:00:00,159,21.2,1.2,89.0,8.0,,
2023-07-01 02:00:00,184,25.0,3.7,88.0,10.0,,
2023-07-01 03:00:00,105,18.6,0.1,93.0,6.0,,
2023-07-01 03:00:00,108,23.5,1.0,89.0,0.0,,
2023-07-01 03:00:00,112,22.1,0.0,90.0,0.0,,
2023-07-01 03:00:00,119,21.8,0.9,97.0,8.0,,
2023-07-01 03:00:00,133,23.1,0.3,94.0,10.0,,
2023-07-01 03:00:00,143,21.9,2.7,89.0,10.0,,
2023-07-01 03:00:00,146,23.9,0.5,93.0,10.0,,
2023-07-01 03:00:00,156,23.5,0.0,99.0,10.0,,
2023-07-01 03:00:00,159,21.3,1.2,87.0,10.0,,
2023-07-01 03:00:00,184,24.8,3.3,89.0,10.0,,
2023-07-01 04:00:00,105,18.3,0.1,93.0,6.0,,
2023-07-01 04:00:00,108,23.4,1.1,92.0,6.0,,
2023-07-01 04:00:00,112,22.1,0.0,91.0,6.0,,
2023-07-01 04:00:00,119,21.6,1.5,97.0,2.0,,
