TM,STN,TA,CA_TOT,SS,SI,WS,HM
2026-08-11 20:00:00,133,27.4,1.0,0.0,0.02,,
2026-08-11 21:00:00,108,26.8,0.0,,,,
2026-08-11 21:00:00,133,26.9,1.0,,,,
2026-08-11 22:00:00,108,25.9,1.0,,,,
2026-08-11 22:00:00,133,25.9,1.0,,,,
2026-08-11 23:00:00,108,25.1,1.0,,,,
2026-08-11 23:00:00,133,24.6,1.0,,,,
2026-08-12 00:00:00,108,24.4,0.0,,,,
2026-08-12 00:00:00,133,23.6,1.0,,,,
2026-08-12 01:00:00,108,23.6,0.0,,,,
2026-08-12 01:00:00,133,23.0,1.0,,,,
2026-08-12 02:00:00,108,23.1,0.0,,,,
2026-08-12 02:00:00,133,22.3,0.0,,,,
2026-08-12 03:00:00,108,22.5,0.0,,,,
2026-08-12 03:00:00,133,21.6,0.0,,,,
2026-08-12 04:00:00,108,22.2,0.0,,,,
2026-08-12 04:00:00,133,20.9,0.0,,,,
2026-08-12 05:00:00,108,21.9,0.0,,,,
2026-08-12 05:00:00,133,20.3,0.0,,,,
2026-08-12 06:00:00,108,21.5,0.0,0.0,0.0,,
2026-08-12 06:00:00,133,19.6,0.0,0.0,0.0,,
2026-08-12 07:00:00,108,22.0,0.0,1.0,0.33,,
2026-08-12 07:00:00,133,21.3,1.0,0.7,0.28,,
2026-08-12 08:00:00,108,23.9,0.0,1.0,0.99,,
2026-08-12 08:00:00,133,23.4,0.0,1.0,1.01,,
2026-08-12 09:00:00,108,25.4,0.0,1.0,1.8,,
2026-08-12 09:00:00,133,25.6,0.0,1.0,1.76,,
2026-08-12 10:00:00,108,26.7,1.0,1.0,2.43,,
2026-08-12 10:00:00,133,27.6,1.0,1.0,2.44,,
2026-08-12 11:00:00,108,28.2,1.0,1.0,3.02,,
2026-08-12 11:00:00,133,28.4,4.0,1.0,3.02,,
2026-08-12 12:00:00,108,29.3,0.0,1.0,3.39,,
2026-08-12 12:00:00,133,29.0,4.0,1.0,3.18,,
2026-08-12 13:00:00,108,30.7,1.0,1.0,3.52,,
2026-08-12 13:00:00,133,29.9,7.0,0.9,3.61,,
2026-08-12 14:00:00,108,31.1,2.0,1.0,3.44,,
2026-08-12 14:00:00,133,29.6,9.0,0.3,2.06,,
2026-08-12 15:00:00,108,31.9,2.0,1.0,3.13,,
2026-08-12 15:00:00,133,29.4,9.0,0.0,1.48,,
2026-08-12 16:00:00,108,31.5,2.0,1.0,2.66,,
2026-08-12 16:00:00,133,29.4,9.0,0.0,1.39,,
2026-08-12 17:00:00,108,31.4,5.0,1.0,1.99,,
2026-08-12 17:00:00,133,28.9,9.0,0.0,1.02,,
2026-08-12 18:00:00,105,20.8,10.0,0.0,0.15,,
2026-08-12 18:00:00,108,30.2,5.0,1.0,1.25,,
2026-08-12 18:00:00,112,30.4,6.0,0.3,0.71,,
2026-08-12 18:00:00,119,29.4,10.0,0.2,0.57,,
2026-08-12 18:00:00,133,28.2,9.0,0.0,0.34,,
2026-08-12 18:00:00,143,27.9,9.0,0.0,0.34,,
2026-08-12 18:00:00,146,29.7,10.0,0.0,0.31,,
2026-08-12 18:00:00,156,30.3,10.0,0.0,1.83,,
2026-08-12 18:00:00,159,28.5,8.0,0.2,0.6,,
2026-08-12 18:00:00,184,28.0,4.0,0.9,0.92,,
2026-08-12 19:00:00,105,20.9,9.0,0.0,0.12,,
2026-08-12 19:00:00,108,28.8,4.0,1.0,0.53,,
2026-08-12 19:00:00,112,29.5,5.0,0.5,0.38,,
2026-08-12 19:00:00,119,28.5,8.0,0.0,0.2,,
2026-08-12 19:00:00,133,27.7,8.0,0.0,0.21,,
2026-08-12 19:00:00,143,27.8,6.0,0.1,0.2,,
2026-08-12 19:00:00,146,28.9,10.0,0.0,0.14,,
2026-08-12 19:00:00,156,28.5,10.0,0.0,2.16,,
2026-08-12 19:00:00,159,27.1,5.0,0.1,0.29,,
2026-08-12 19:00:00,184,27.6,1.0,1.0,0.25,,
2026-08-12 20:00:00,105,21.1,9.0,0.0,0.01,,
2026-08-12 20:00:00,108,27.6,4.0,0.0,0.02,,
2026-08-12 20:00:00,112,28.6,4.0,0.0,0.02,,
2026-08-12 20:00:00,119,27.3,2.0,0.0,0.02,,
2026-08-12 20:00:00,133,27.0,10.0,0.0,0.01,,
2026-08-12 20:00:00,143,26.7,6.0,0.0,0.01,,
2026-08-12 20:00:00,146,28.3,10.0,0.0,0.01,,
2026-08-12 20:00:00,156,27.6,10.0,0.0,2.24,,
2026-08-12 20:00:00,159,26.5,5.0,0.0,0.01,,
2026-08-12 20:00:00,184,26.9,1.0,0.0,0.01,,
2026-08-12 21:00:00,105,21.4,8.0,,,,
2026-08-12 21:00:00,108,26.9,1.0,,,,
2026-08-12 21:00:00,112,28.1,5.0,,,,
2026-08-12 21:00:00,119,26.8,1.0,,,,
2026-08-12 21:00:00,133,26.3,1.0,,,,
2026-08-12 21:00:00,143,26.3,9.0,,,,
2026-08-12 21:00:00,146,28.0,10.0,,,,
2026-08-12 21:00:00,156,27.1,10.0,,,,
2026-08-12 21:00:00,159,25.8,3.0,,,,
2026-08-12 21:00:00,184,26.4,1.0,,,,
2026-08-12 22:00:00,105,21.7,3.0,,,,
2026-08-12 22:00:00,108,26.1,1.0,,,,
2026-08-12 22:00:00,112,27.5,1.0,,,,
2026-08-12 22:00:00,119,26.2,1.0,,,,
2026-08-12 22:00:00,133,25.5,3.0,,,,
2026-08-12 22:00:00,143,25.9,9.0,,,,
2026-08-12 22:00:00,146,27.3,6.0,,,,
2026-08-12 22:00:00,156,26.7,10.0,,,,
2026-08-12 22:00:00,159,25.6,4.0,,,,
2026-08-12 22:00:00,184,26.4,7.0,,,,
2026-08-12 23:00:00,105,21.8,6.0,,,,
2026-08-12 23:00:00,108,25.5,1.0,,,,
2026-08-12 23:00:00,112,26.8,1.0,,,,
2026-08-12 23:00:00,119,25.5,1.0,,,,
2026-08-12 23:00:00,133,24.8,4.0,,,,
2026-08-12 23:00:00,143,25.5,9.0,,,,
