TM,STN,TA,WS,HM,CA_TOT,SS,SI
2021-08-01 00:00:00,105,29.2,0.7,77.0,9.0,,
2021-08-01 00:00:00,108,28.0,1.4,70.0,8.0,,
2021-08-01 00:00:00,112,27.2,0.3,73.0,8.0,,
2021-08-01 00:00:00,119,26.5,0.9,88.0,8.0,,
2021-08-01 00:00:00,133,27.6,1.5,79.0,3.0,,
2021-08-01 00:00:00,143,27.3,0.4,85.0,8.0,,
2021-08-01 00:00:00,146,27.0,1.0,75.0,6.0,,
2021-08-01 00:00:00,156,27.4,0.6,79.0,5.0,,
2021-08-01 00:00:00,159,27.5,2.7,86.0,7.0,,
2021-08-01 00:00:00,184,26.7,0.6,91.0,3.0,,
2021-08-01 01:00:00,105,29.0,0.8,78.0,9.0,,
2021-08-01 01:00:00,108,27.6,1.5,75.0,6.0,,
2021-08-01 01:00:00,112,27.0,1.1,69.0,8.0,,
2021-08-01 01:00:00,119,26.1,0.7,90.0,4.0,,
2021-08-01 01:00:00,133,27.1,1.0,84.0,3.0,,
2021-08-01 01:00:00,143,26.8,0.5,86.0,8.0,,
2021-08-01 01:00:00,146,26.7,0.3,78.0,4.0,,
2021-08-01 01:00:00,156,27.3,0.9,81.0,8.0,,
2021-08-01 01:00:00,159,27.2,2.2,88.0,4.0,,
2021-08-01 01:00:00,184,26.9,1.3,90.0,3.0,,
2021-08-01 02:00:00,105,28.4,0.6,80.0,4.0,,
2021-08-01 02:00:00,108,27.4,1.4,75.0,4.0,,
2021-08-01 02:00:00,112,26.9,1.5,69.0,9.0,,
2021-08-01 02:00:00,119,25.9,1.1,90.0,5.0,,
2021-08-01 02:00:00,133,26.5,0.5,87.0,4.0,,
2021-08-01 02:00:00,143,26.2,1.6,88.0,6.0,,
2021-08-01 02:00:00,146,26.3,1.1,80.0,8.0,,
2021-08-01 02:00:00,156,26.9,0.8,84.0,8.0,,
2021-08-01 02:00:00,159,27.1,3.0,89.0,5.0,,
2021-08-01 02:00:00,184,26.6,1.3,88.0,5.0,,
2021-08-01 03:00:00,105,27.8,0.9,82.0,2.0,,
2021-08-01 03:00:00,108,27.3,1.3,76.0,9.0,,
2021-08-01 03:00:00,112,26.9,1.1,70.0,9.0,,
2021-08-01 03:00:00,119,25.5,0.0,93.0,3.0,,
2021-08-01 03:00:00,133,26.1,0.4,88.0,6.0,,
2021-08-01 03:00:00,143,26.2,1.2,91.0,4.0,,
2021-08-01 03:00:00,146,26.1,0.2,80.0,6.0,,
