TM,STN,TA,WS,HM,CA_TOT,SS,SI
2024-08-01 00:00:00,105,30.5,0.3,64.0,0.0,,
2024-08-01 00:00:00,108,27.9,2.7,80.0,8.0,,
2024-08-01 00:00:00,112,27.4,2.6,88.0,7.0,,
2024-08-01 00:00:00,119,26.8,0.6,87.0,8.0,,
2024-08-01 00:00:00,133,27.8,2.1,82.0,0.0,,
2024-08-01 00:00:00,143,29.1,1.1,77.0,0.0,,
2024-08-01 00:00:00,146,28.3,0.1,86.0,3.0,,
2024-08-01 00:00:00,156,27.4,1.3,81.0,0.0,,
2024-08-01 00:00:00,159,27.9,5.7,81.0,0.0,,
2024-08-01 00:00:00,184,29.3,1.1,80.0,8.0,,
2024-08-01 01:00:00,105,30.3,1.5,66.0,0.0,,
2024-08-01 01:00:00,108,27.8,1.9,81.0,0.0,,
2024-08-01 01:00:00,112,27.4,2.8,88.0,0.0,,
2024-08-01 01:00:00,119,26.6,0.0,87.0,0.0,,
2024-08-01 01:00:00,133,27.5,1.3,83.0,0.0,,
2024-08-01 01:00:00,143,28.8,1.0,80.0,0.0,,
2024-08-01 01:00:00,146,28.2,1.2,82.0,0.0,,
2024-08-01 01:00:00,156,27.6,1.5,80.0,0.0,,
2024-08-01 01:00:00,159,27.6,5.5,80.0,0.0,,
2024-08-01 01:00:00,184,29.1,2.9,81.0,0.0,,
2024-08-01 02:00:00,105,30.6,1.9,66.0,0.0,,
2024-08-01 02:00:00,108,27.8,2.5,82.0,3.0,,
2024-08-01 02:00:00,112,27.3,2.8,89.0,9.0,,
2024-08-01 02:00:00,119,26.3,0.1,89.0,3.0,,
2024-08-01 02:00:00,133,27.3,1.3,83.0,0.0,,
2024-08-01 02:00:00,143,28.5,2.0,83.0,0.0,,
2024-08-01 02:00:00,146,28.1,0.9,80.0,0.0,,
2024-08-01 02:00:00,156,27.7,1.0,80.0,10.0,,
2024-08-01 02:00:00,159,27.4,4.2,83.0,0.0,,
2024-08-01 02:00:00,184,28.9,2.1,81.0,0.0,,
2024-08-01 03:00:00,105,30.8,2.3,65.0,0.0,,
2024-08-01 03:00:00,108,27.8,2.4,82.0,9.0,,
2024-08-01 03:00:00,112,27.2,2.7,89.0,8.0,,
2024-08-01 03:00:00,119,26.6,1.2,88.0,9.0,,
2024-08-01 03:00:00,133,27.6,1.2,79.0,9.0,,
2024-08-01 03:00:00,143,28.2,2.4,84.0,7.0,,
2024-08-01 03:00:00,146,27.9,0.9,81.0,9.0,,
2024-08-01 03:00:00,156,27.4,0.6,80.0,7.0,,
2024-08-01 03:00:00,159,27.3,4.7,84.0,2.0,,
2024-08-01 03:00:00,184,28.7,1.0,80.0,0.0,,
2024-08-01 04:00:00,105,30.9,2.3,63.0,0.0,,
2024-08-01 04:00:00,108,27.7,2.7,84.0,9.0,,
2024-08-01 04:00:00,112,27.3,2.8,89.0,8.0,,
2024-08-01 04:00:00,119,26.6,1.4,89.0,7.0,,
2024-08-01 04:00:00,133,27.6,2.1,79.0,9.0,,
2024-08-01 04:00:00,143,28.0,2.3,83.0,9.0,,
2024-08-01 04:00:00,146,27.8,1.0,80.0,6.0,,
2024-08-01 04:00:00,156,27.5,0.6,80.0,6.0,,
2024-08-01 04:00:00,159,27.3,4.7,86.0,7.0,,
2024-08-01 04:00:00,184,28.5,0.9,78.0,0.0,,
2024-08-01 05:00:00,105,30.6,3.0,62.0,0.0,,
2024-08-01 05:00:00,108,27.3,2.5,85.0,4.0,,
2024-08-01 05:00:00,112,27.3,2.5,89.0,9.0,,
2024-08-01 05:00:00,119,26.8,1.8,88.0,8.0,,
2024-08-01 05:00:00,133,27.1,2.2,81.0,1.0,,
2024-08-01 05:00:00,143,28.1,1.1,83.0,7.0,,
2024-08-01 05:00:00,146,27.0,1.1,84.0,0.0,,
2024-08-01 05:00:00,156,27.4,1.3,82.0,7.0,,
2024-08-01 05:00:00,159,27.1,3.2,87.0,3.0,,
2024-08-01 05:00:00,184,28.4,1.5,76.0,0.0,,
2024-08-01 06:00:00,105,30.7,3.6,60.0,0.0,0.2,0.03
2024-08-01 06:00:00,108,27.5,2.3,82.0,9.0,0.0,0.0
2024-08-01 06:00:00,112,27.3,3.0,89.0,9.0,0.0,0.0
2024-08-01 06:00:00,119,26.8,1.8,87.0,9.0,0.0,0.0
2024-08-01 06:00:00,133,27.1,1.0,81.0,8.0,0.0,0.01
