TM,STN,TA,WS,HM,CA_TOT,SS,SI
2023-12-01 00:00:00,105,-1.5,2.9,37.0,1.0,,
2023-12-01 00:00:00,108,-5.0,2.1,64.0,0.0,,
2023-12-01 00:00:00,112,-4.7,2.9,65.0,0.0,,
2023-12-01 00:00:00,119,-4.2,2.1,65.0,0.0,,
2023-12-01 00:00:00,133,-3.4,1.2,70.0,4.0,,
2023-12-01 00:00:00,143,-1.0,2.3,55.0,0.0,,
2023-12-01 00:00:00,146,-0.1,0.5,60.0,9.0,,
2023-12-01 00:00:00,156,-1.0,1.6,76.0,1.0,,
2023-12-01 00:00:00,159,0.2,2.7,36.0,1.0,,
2023-12-01 00:00:00,184,5.6,4.1,72.0,10.0,,
2023-12-01 01:00:00,105,-1.6,4.1,37.0,1.0,,
2023-12-01 01:00:00,108,-5.5,2.3,64.0,0.0,,
2023-12-01 01:00:00,112,-5.0,3.0,65.0,0.0,,
2023-12-01 01:00:00,119,-4.8,1.5,66.0,0.0,,
2023-12-01 01:00:00,133,-3.7,1.2,73.0,0.0,,
2023-12-01 01:00:00,143,-1.1,2.9,56.0,0.0,,
2023-12-01 01:00:00,146,-0.4,1.2,61.0,6.0,,
2023-12-01 01:00:00,156,0.0,1.0,72.0,2.0,,
2023-12-01 01:00:00,159,-0.1,2.7,39.0,6.0,,
2023-12-01 01:00:00,184,5.4,3.1,76.0,10.0,,
2023-12-01 02:00:00,105,-1.5,3.5,37.0,1.0,,
2023-12-01 02:00:00,108,-5.6,3.4,66.0,0.0,,
2023-12-01 02:00:00,112,-5.2,3.4,64.0,0.0,,
2023-12-01 02:00:00,119,-5.4,2.1,69.0,0.0,,
2023-12-01 02:00:00,133,-4.5,1.3,78.0,0.0,,
2023-12-01 02:00:00,143,-1.1,4.1,57.0,0.0,,
2023-12-01 02:00:00,146,-0.1,0.7,63.0,10.0,,
2023-12-01 02:00:00,156,0.0,1.1,72.0,9.0,,
2023-12-01 02:00:00,159,-0.1,3.5,39.0,6.0,,
2023-12-01 02:00:00,184,5.5,1.5,72.0,10.0,,
2023-12-01 03:00:00,105,-1.8,2.4,38.0,2.0,,
2023-12-01 03:00:00,108,-6.3,2.3,66.0,0.0,,
2023-12-01 03:00:00,112,-5.6,1.5,61.0,0.0,,
2023-12-01 03:00:00,119,-5.2,1.7,61.0,0.0,,
2023-12-01 03:00:00,133,-4.1,0.9,78.0,3.0,,
2023-12-01 03:00:00,143,-1.2,3.8,59.0,0.0,,
2023-12-01 03:00:00,146,-0.7,1.4,68.0,7.0,,
2023-12-01 03:00:00,156,0.2,1.1,74.0,9.0,,
2023-12-01 03:00:00,159,-0.6,2.0,43.0,1.0,,
2023-12-01 03:00:00,184,5.7,3.3,75.0,10.0,,
2023-12-01 04:00:00,105,-2.2,3.2,40.0,2.0,,
2023-12-01 04:00:00,108,-6.7,2.1,68.0,0.0,,
2023-12-01 04:00:00,112,-5.8,2.7,60.0,0.0,,
2023-12-01 04:00:00,119,-6.3,0.1,64.0,0.0,,
2023-12-01 04:00:00,133,-4.7,1.0,79.0,0.0,,
2023-12-01 04:00:00,143,-1.4,3.5,61.0,0.0,,
2023-12-01 04:00:00,146,-0.8,1.7,73.0,10.0,,
2023-12-01 04:00:00,156,-0.3,1.0,84.0,9.0,,
2023-12-01 04:00:00,159,-0.9,1.9,45.0,0.0,,
2023-12-01 04:00:00,184,5.4,2.4,80.0,10.0,,
2023-12-01 05:00:00,105,-1.7,3.4,38.0,2.0,,
2023-12-01 05:00:00,108,-6.6,1.0,66.0,0.0,,
2023-12-01 05:00:00,112,-5.8,2.6,58.0,0.0,,
2023-12-01 05:00:00,119,-7.3,0.2,70.0,0.0,,
2023-12-01 05:00:00,133,-5.3,0.7,78.0,0.0,,
2023-12-01 05:00:00,143,-1.5,4.6,63.0,0.0,,
2023-12-01 05:00:00,146,-1.2,1.6,72.0,7.0,,
2023-12-01 05:00:00,156,-0.6,1.5,92.0,9.0,,
2023-12-01 05:00:00,159,-1.3,2.3,48.0,0.0,,
2023-12-01 05:00:00,184,6.0,3.9,81.0,10.0,,
2023-12-01 06:00:00,105,-1.9,2.5,39.0,1.0,,
2023-12-01 06:00:00,108,-6.6,0.8,66.0,0.0,,
2023-12-01 06:00:00,112,-5.9,1.8,59.0,0.0,,
2023-12-01 06:00:00,119,-7.1,1.1,75.0,0.0,,
2023-12-01 06:00:00,133,-5.4,0.7,77.0,0.0,,
2023-12-01 06:00:00,143,-1.4,4.1,64.0,0.0,,
2023-12-01 06:00:00,146,-1.3,1.7,69.0,8.0,,
2023-12-01 06:00:00,156,-0.7,0.2,97.0,9.0,,
2023-12-01 06:00:00,159,-1.2,1.9,48.0,0.0,,
2023-12-01 06:00:00,184,6.4,4.4,71.0,10.0,,
2023-12-01 07:00:00,105,-1.9,3.1,38.0,0.0,,
2023-12-01 07:00:00,108,-6.7,1.8,63.0,0.0,,
2023-12-01 07:00:00,112,-5.9,2.7,59.0,0.0,,
2023-12-01 07:00:00,119,-7.4,0.4,76.0,0.0,,
2023-12-01 07:00:00,133,-5.8,1.3,80.0,0.0,,
2023-12-01 07:00:00,143,-1.4,3.5,62.0,0.0,,
2023-12-01 07:00:00,146,-1.1,0.8,69.0,9.0,,
2023-12-01 07:00:00,156,-0.5,0.2,97.0,9.0,,
2023-12-01 07:00:00,159,-1.4,1.2,49.0,0.0,,
