TM,STN,TA,WS,HM,CA_TOT,SS,SI
2022-04-01 00:00:00,105,4.0,2.4,90.0,0.0,,
2022-04-01 00:00:00,108,7.6,0.9,63.0,1.0,,
2022-04-01 00:00:00,112,7.0,2.9,75.0,2.0,,
2022-04-01 00:00:00,119,7.2,0.5,83.0,3.0,,
2022-04-01 00:00:00,133,8.0,2.5,69.0,9.0,,
2022-04-01 00:00:00,143,6.7,2.0,84.0,10.0,,
2022-04-01 00:00:00,146,7.1,0.0,85.0,9.0,,
2022-04-01 00:00:00,156,7.6,0.6,88.0,6.0,,
2022-04-01 00:00:00,159,8.4,3.8,64.0,10.0,,
2022-04-01 00:00:00,184,9.5,3.0,79.0,8.0,,
2022-04-01 01:00:00,105,3.3,2.0,91.0,0.0,,
2022-04-01 01:00:00,108,7.1,2.3,66.0,0.0,,
2022-04-01 01:00:00,112,6.9,3.2,72.0,5.0,,
2022-04-01 01:00:00,119,6.8,0.7,85.0,5.0,,
2022-04-01 01:00:00,133,7.3,2.5,72.0,9.0,,
2022-04-01 01:00:00,143,7.1,1.8,81.5,10.0,,
2022-04-01 01:00:00,146,7.0,1.1,85.0,9.0,,
2022-04-01 01:00:00,156,7.3,0.8,89.0,6.0,,
2022-04-01 01:00:00,159,8.2,3.4,63.0,9.0,,
2022-04-01 01:00:00,184,9.4,2.7,80.0,7.0,,
2022-04-01 02:00:00,105,3.2,2.6,90.0,0.0,,
2022-04-01 02:00:00,108,6.4,2.6,69.0,0.0,,
2022-04-01 02:00:00,112,6.6,2.2,74.0,0.0,,
2022-04-01 02:00:00,119,7.3,1.8,79.0,5.0,,
2022-04-01 02:00:00,133,6.7,3.0,71.0,9.0,,
2022-04-01 02:00:00,143,6.0,1.4,86.0,10.0,,
2022-04-01 02:00:00,146,5.9,1.2,89.0,9.0,,
2022-04-01 02:00:00,156,6.7,0.4,94.0,9.0,,
2022-04-01 02:00:00,159,7.9,3.4,67.0,9.0,,
2022-04-01 02:00:00,184,9.3,2.7,82.0,9.0,,
2022-04-01 03:00:00,105,3.5,2.6,89.0,7.0,,
2022-04-01 03:00:00,108,5.9,2.0,71.0,0.0,,
2022-04-01 03:00:00,112,6.1,2.6,79.0,0.0,,
2022-04-01 03:00:00,119,5.7,0.6,83.0,0.0,,
2022-04-01 03:00:00,133,6.2,1.9,69.0,8.0,,
2022-04-01 03:00:00,143,5.4,0.8,87.0,2.0,,
2022-04-01 03:00:00,146,5.7,1.0,92.0,8.0,,
2022-04-01 03:00:00,156,6.5,0.6,94.0,8.0,,
2022-04-01 03:00:00,159,7.5,2.9,66.0,10.0,,
2022-04-01 03:00:00,184,9.4,1.9,83.0,8.0,,
2022-04-01 04:00:00,105,3.7,2.0,88.0,8.0,,
2022-04-01 04:00:00,108,5.5,2.1,72.0,3.0,,
2022-04-01 04:00:00,112,5.5,3.4,80.0,0.0,,
2022-04-01 04:00:00,119,5.6,0.9,84.0,2.0,,
2022-04-01 04:00:00,133,5.5,1.0,70.0,9.0,,
2022-04-01 04:00:00,143,4.9,0.5,95.0,3.0,,
2022-04-01 04:00:00,146,5.4,0.7,93.0,5.0,,
2022-04-01 04:00:00,156,6.1,0.2,96.0,5.0,,
2022-04-01 04:00:00,159,7.1,3.8,67.0,3.0,,
2022-04-01 04:00:00,184,9.7,3.9,83.0,9.0,,
2022-04-01 05:00:00,105,3.9,2.1,87.0,8.0,,
2022-04-01 05:00:00,108,5.0,2.3,76.0,1.0,,
2022-04-01 05:00:00,112,5.5,1.8,79.0,0.0,,
2022-04-01 05:00:00,119,5.9,1.3,86.0,4.0,,
2022-04-01 05:00:00,133,4.9,0.9,75.0,6.0,,
2022-04-01 05:00:00,143,4.2,0.7,95.0,1.0,,
2022-04-01 05:00:00,146,5.2,1.1,93.0,2.0,,
2022-04-01 05:00:00,156,5.8,0.2,98.0,0.0,,
2022-04-01 05:00:00,159,6.9,4.7,68.0,1.0,,
2022-04-01 05:00:00,184,9.8,4.2,83.0,9.0,,
2022-04-01 06:00:00,105,3.3,0.4,87.0,7.0,,
2022-04-01 06:00:00,108,4.7,2.4,77.0,1.0,,
2022-04-01 06:00:00,112,5.1,2.7,81.0,1.0,,
2022-04-01 06:00:00,119,5.5,1.0,79.0,2.0,,
2022-04-01 06:00:00,133,4.5,2.0,74.0,5.0,,
2022-04-01 06:00:00,143,3.8,0.5,97.0,0.0,,
2022-04-01 06:00:00,146,4.8,0.6,94.0,0.0,,
2022-04-01 06:00:00,156,5.5,0.1,98.0,0.0,,
2022-04-01 06:00:00,159,6.6,3.6,67.0,0.0,,
2022-04-01 06:00:00,184,9.9,3.7,83.0,6.0,,
2022-04-01 07:00:00,105,3.6,0.5,90.0,10.0,0.0,0.03
2022-04-01 07:00:00,108,4.7,1.7,76.0,5.0,0.4,0.09
2022-04-01 07:00:00,112,5.1,2.4,81.0,2.0,0.4,0.09
2022-04-01 07:00:00,119,5.4,0.8,80.0,3.0,0.4,0.08
2022-04-01 07:00:00,133,4.5,1.6,76.0,3.0,0.2,0.07
2022-04-01 07:00:00,143,4.4,0.5,97.0,1.0,0.3,0.13
2022-04-01 07:00:00,146,5.5,0.7,93.0,0.0,0.1,0.07
2022-04-01 07:00:00,156,5.2,0.2,99.0,2.0,0.0,0.12
2022-04-01 07:00:00,159,7.3,4.5,64.0,0.0,0.2,0.08
2022-04-01 07:00:00,184,10.2,3.2,84.0,8.0,0.0,0.0
2022-04-01 08:00:00,105,4.2,1.4,92.0,9.0,0.0,0.21
2022-04-01 08:00:00,108,6.5,2.6,70.0,5.0,1.0,0.59
2022-04-01 08:00:00,112,6.3,1.7,74.0,7.0,1.0,0.57
2022-04-01 08:00:00,119,8.0,1.6,66.0,3.0,1.0,0.57
2022-04-01 08:00:00,133,6.7,1.1,66.0,2.0,1.0,0.63
2022-04-01 08:00:00,143,6.6,0.5,84.0,1.0,1.0,0.8
2022-04-01 08:00:00,146,6.6,0.7,86.0,4.0,0.8,0.58
2022-04-01 08:00:00,156,6.2,0.7,99.0,0.0,1.0,0.69
2022-04-01 08:00:00,159,9.1,3.6,58.0,0.0,0.9,0.71
2022-04-01 08:00:00,184,11.2,3.1,78.0,7.0,0.0,0.22
2022-04-01 09:00:00,105,5.4,1.3,90.0,8.0,0.0,0.44
2022-04-01 09:00:00,108,8.5,2.7,60.0,3.0,1.0,1.42
2022-04-01 09:00:00,112,8.8,2.4,60.0,6.0,1.0,1.31
2022-04-01 09:00:00,119,9.2,2.0,59.0,3.0,1.0,1.39
2022-04-01 09:00:00,133,9.2,2.6,56.0,2.0,1.0,1.45
2022-04-01 09:00:00,143,9.0,1.0,77.0,1.0,1.0,1.46
2022-04-01 09:00:00,146,8.6,0.9,72.0,1.0,1.0,1.34
2022-04-01 09:00:00,156,9.4,0.8,83.0,2.0,1.0,1.52
2022-04-01 09:00:00,159,10.1,3.7,54.0,2.0,0.8,1.26
2022-04-01 09:00:00,184,12.0,4.3,71.0,7.0,0.1,0.54
2022-04-01 10:00:00,105,7.6,0.6,80.0,7.0,0.1,1.14
2022-04-01 10:00:00,108,10.7,2.7,49.0,1.0,1.0,2.2
2022-04-01 10:00:00,112,9.7,2.0,57.0,1.0,1.0,2.1
2022-04-01 10:00:00,119,10.6,1.5,52.0,3.0,1.0,2.07
2022-04-01 10:00:00,133,10.6,3.5,51.0,5.0,1.0,2.13
2022-04-01 10:00:00,143,10.0,3.3,57.0,2.0,1.0,2.28
2022-04-01 10:00:00,146,11.3,1.2,60.0,1.0,1.0,2.08
2022-04-01 10:00:00,156,11.4,1.0,69.0,0.0,1.0,2.27
2022-04-01 10:00:00,159,11.4,4.2,50.0,3.0,0.7,1.95
2022-04-01 10:00:00,184,12.7,4.8,65.0,6.0,0.4,1.51
2022-04-01 11:00:00,105,9.0,2.8,68.0,6.0,0.3,1.83
2022-04-01 11:00:00,108,11.9,2.4,46.0,1.0,1.0,2.82
2022-04-01 11:00:00,112,11.1,3.7,53.0,0.0,1.0,2.67
2022-04-01 11:00:00,119,11.7,2.4,46.0,2.0,1.0,2.72
2022-04-01 11:00:00,133,12.0,3.0,44.0,9.0,1.0,2.37
2022-04-01 11:00:00,143,10.4,2.6,55.0,5.0,0.7,1.96
2022-04-01 11:00:00,146,12.0,1.4,51.0,3.0,1.0,2.72
2022-04-01 11:00:00,156,12.5,1.0,60.0,3.0,1.0,2.87
2022-04-01 11:00:00,159,12.6,4.0,45.0,4.0,0.7,2.65
2022-04-01 11:00:00,184,13.5,5.4,60.0,4.0,0.8,2.49
2022-04-01 12:00:00,105,10.4,2.5,60.0,5.0,0.8,2.83
2022-04-01 12:00:00,108,13.2,1.6,38.0,3.0,0.9,3.08
2022-04-01 12:00:00,112,11.2,3.5,50.0,1.0,1.0,3.05
2022-04-01 12:00:00,119,12.4,2.0,41.0,5.0,1.0,3.13
2022-04-01 12:00:00,133,13.2,2.4,41.0,8.0,1.0,2.84
2022-04-01 12:00:00,143,12.1,3.7,44.0,4.0,0.7,2.21
2022-04-01 12:00:00,146,13.8,2.1,39.0,7.0,1.0,3.09
2022-04-01 12:00:00,156,14.4,1.2,55.0,5.0,1.0,3.23
2022-04-01 12:00:00,159,11.8,4.0,46.0,4.0,0.4,1.98
2022-04-01 12:00:00,184,13.8,5.0,62.0,3.0,1.0,3.19
2022-04-01 13:00:00,105,10.3,1.6,54.0,4.0,0.6,2.45
2022-04-01 13:00:00,108,13.2,2.5,35.0,4.0,0.4,2.28
2022-04-01 13:00:00,112,11.7,3.6,50.0,3.0,1.0,3.3
2022-04-01 13:00:00,119,12.8,1.9,34.0,7.0,1.0,3.32
2022-04-01 13:00:00,133,14.5,2.0,34.0,7.0,1.0,3.06
2022-04-01 13:00:00,143,12.8,2.6,40.0,6.0,0.6,2.45
2022-04-01 13:00:00,146,14.1,2.8,36.0,8.0,1.0,3.05
2022-04-01 13:00:00,156,14.8,1.1,40.0,8.0,1.0,2.68
2022-04-01 13:00:00,159,12.7,4.5,42.0,3.0,0.6,2.55
2022-04-01 13:00:00,184,14.0,5.6,61.0,3.0,1.0,3.34
2022-04-01 14:00:00,105,10.4,1.7,51.0,4.0,0.2,1.75
2022-04-01 14:00:00,108,14.7,3.3,29.0,4.0,0.7,2.92
2022-04-01 14:00:00,112,12.0,4.4,52.0,3.0,1.0,3.21
2022-04-01 14:00:00,119,12.6,3.2,46.0,7.0,0.4,1.44
2022-04-01 14:00:00,133,14.2,2.8,27.0,7.0,0.5,2.17
2022-04-01 14:00:00,143,12.3,2.4,41.0,7.0,0.1,1.28
2022-04-01 14:00:00,146,14.8,3.2,37.0,8.0,1.0,2.68
2022-04-01 14:00:00,156,14.9,1.2,35.0,9.0,0.3,1.83
2022-04-01 14:00:00,159,12.9,4.6,42.0,6.0,0.9,2.94
2022-04-01 14:00:00,184,13.9,5.3,61.0,3.0,1.0,3.29
2022-04-01 15:00:00,105,10.9,1.5,51.0,5.0,0.6,2.34
